,nome,coordenadas,localiza__oLabel,imagem,DGPC_ID,informação
483,Cruzeiro de Loures,Point(-9.179397 38.832315),Loures,http://commons.wikimedia.org/wiki/Special:FilePath/Cruzeiro%20de%20Loures.JPG,70547.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70547
484,Cruzeiro de Castelo Branco,Point(-7.493269 39.827697),Castelo Branco,http://commons.wikimedia.org/wiki/Special:FilePath/Cruzeiro%20de%20S%C3%A3o%20Jo%C3%A3o%20-%20Castelo%20Branco%20-%20Portugal%20%2849750793502%29%20%28cropped%29.jpg,70389.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70389
485,Cruzeiro de Cabeço de Vide,Point(-7.592441 39.132911),Cabeço de Vide,http://commons.wikimedia.org/wiki/Special:FilePath/Cruzeiro%20de%20Cabe%C3%A7o%20de%20Vide%20-%20Cabe%C3%A7o%20de%20Vide%20-%20Portugal%20%285936144663%29%20%28cropped%29.jpg,71156.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/71156
486,Cruzeiro de Arroios,Point(-9.136195 38.732491),Arroios,http://commons.wikimedia.org/wiki/Special:FilePath/Cruzeiro%20de%20Arroios%207111.jpg,70504.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70504
487,Cruzeiro da Estrela,Point(-7.37864 39.386607),Santa Maria de Marvão,http://commons.wikimedia.org/wiki/Special:FilePath/Cruzeiro%20Manuelino%20da%20Esteira%20-%20Marv%C3%A3o%20-%20Portugal%20%2848449048801%29.jpg,70364.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70364
488,Cruz de Portugal,Point(-8.432305 37.194429),Silves,http://commons.wikimedia.org/wiki/Special:FilePath/Cruz%20de%20Portugal.jpg,69826.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69826
489,Cromeleque dos Almendres,Point(-8.061077 38.557497),Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,http://commons.wikimedia.org/wiki/Special:FilePath/Cromeleque%20dos%20Almendres1341.JPG,69690.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69690
490,Cromeleque de Vale de Maria do Meio,Point(-8.008355 38.622527),Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,http://commons.wikimedia.org/wiki/Special:FilePath/Cromeleque%20de%20Vale%20Maria%20do%20Meio%20%2831728650760%29.jpg,11083809.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/11083809
491,Cordoaria Nacional,Point(-9.19027778 38.6975),Belém,http://commons.wikimedia.org/wiki/Special:FilePath/F%C3%A1brica%20Nacional%20da%20Cordoaria%207614.jpg,70634.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/70634
492,Convento dos Lóios,Point(-7.90722222 38.57222222),"União das Freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",http://commons.wikimedia.org/wiki/Special:FilePath/Evora-LoiosChurch.jpg,69781.0,http://www.patrimoniocultural.gov.pt/pt/patrimonio/patrimonio-imovel/pesquisa-do-patrimonio/classificado-ou-em-vias-de-classificacao/geral/view/69781
